n_y,n_c,n_j,n_ex,n_im,n_ds,n_g
3900.40993186448,2086.27419668593,798.464387573734,1063.18782755022,697.599330873335,-63.3277334782115,713.410584406144
3900.40993186448,2086.27419668593,798.464387573734,1063.18782755022,697.599330873335,-63.3277334782115,713.410584406144
3900.40993186448,2086.27419668593,798.464387573734,1063.18782755022,697.599330873335,-63.3277334782115,713.410584406144
4040.80475578974,2143.99654964084,856.243203040272,1099.30803540052,762.201375959445,-33.980826984759,737.43917065232
4040.80475578974,2143.99654964084,856.243203040272,1099.30803540052,762.201375959445,-33.980826984759,737.43917065232
4040.80475578974,2143.99654964084,856.243203040272,1099.30803540052,762.201375959445,-33.980826984759,737.43917065232
4190.47141984278,2197.38124759883,889.563092862896,1122.19937510201,835.90061354039,57.5069571355005,759.721360683936
4190.47141984278,2197.38124759883,889.563092862896,1122.19937510201,835.90061354039,57.5069571355005,759.721360683936
4190.47141984278,2197.38124759883,889.563092862896,1122.19937510201,835.90061354039,57.5069571355005,759.721360683936
4397.13703479041,2282.87566440398,913.865031423998,1193.04261562332,896.349611370464,108.511865299737,795.191469409832
4397.13703479041,2282.87566440398,913.865031423998,1193.04261562332,896.349611370464,108.511865299737,795.191469409832
4397.13703479041,2282.87566440398,913.865031423998,1193.04261562332,896.349611370464,108.511865299737,795.191469409832
4664.58716735973,2383.87238409403,945.713073336851,1269.9071070396,938.79600222568,162.922398804659,840.968206310267
4664.58716735973,2383.87238409403,945.713073336851,1269.9071070396,938.79600222568,162.922398804659,840.968206310267
4664.58716735973,2383.87238409403,945.713073336851,1269.9071070396,938.79600222568,162.922398804659,840.968206310267
4924.06128590197,2472.6978484547,999.108615520938,1385.76021162739,986.55957946852,184.109902968986,868.944286798475
4924.06128590197,2472.6978484547,999.108615520938,1385.76021162739,986.55957946852,184.109902968986,868.944286798475
4924.06128590197,2472.6978484547,999.108615520938,1385.76021162739,986.55957946852,184.109902968986,868.944286798475
5107.99622565686,2539.67187946799,1052.92970049994,1413.63932371907,985.842980442256,202.360808274467,885.237494137646
5107.99622565686,2539.67187946799,1052.92970049994,1413.63932371907,985.842980442256,202.360808274467,885.237494137646
