date,p_exp_oil,p_exp_op,p_exp_gas,brent,gas_lng,gas_europe,dum_2012,dum_1114,dum01,dum02,dum03,dum04,dum05,dum06,dum07,dum08,dum09,dum10,dum11,dum12,r_bal_fin,r_errors,r_dif_reserves,r_price_cur_purch,vcor,r_cur_purch,r_dum_cur_purch,em_index,rate_repo,rate_10tr,r_exp_oil,v_exp_oil,r_exp_op,v_exp_op,r_exp_gas,v_exp_gas,usd_eur,rub_usd,v_prod_oil,v_prod_op,v_prod_gas,r_exp_goods,r_exp_othg,r_exp_serv,r_exp_all,r_imp_goods,r_imp_serv,r_imp_all,n_y,n_c,n_g,n_j,n_ex,n_im,n_ds,r_bal_trade,r_bal_serv,r_bal_wage,r_bal_rent,r_bal_sinc,r_bal_inv,r_cap_account,r_cur_account,const,brent_1,brent_2,brent_3,brent_4,brent_5,brent_6,gas_europe_1,gas_europe_2,gas_europe_3,gas_lng_1,gas_lng_2,gas_lng_3,gas_lng_4,gas_lng_5,rub_usd_1,rub_usd_2,usd_eur_1,v_prod_op_1,gdp_1,vnok_1,n_ds_1,n_c_1,n_j_1,v_exp_oil_1,p_exp_oil_3,rub_usd_eur_1,r_rent_sinc,dif_usd_rub_ratio,dif_usd_rub_ratio_1,dif_brent,dif_usd_rub,dif_usd_eur,dif_em_index,dif_em_index_ratio,dif_brent_ratio,dif_usd_eur_ratio,dif_r,dif_r_1
2011-11-01,0.764289945939713,0.731053781559002,0.415002326214236,110.504090909091,16.78,11.32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,0,5,0,0,0.819200943515349,5.31416666666667,2.068,15.38090925,20.124442735,8.56821215,11.7203581544,6.83235457,16.463412705,1.35847144541929,31.32,42.4384,21.3935,60.1376,46.427,15.64552403,,,29.755,,,5278.07116301965,2623.51487687578,906.274314701157,1112.90017544024,1531.59750390877,1075.39689041402,179.181182507721,16.672,,,,,,,,1,109.468571428571,110.879090909091,110.081304347826,116.46,113.757727272727,114.458181818182,11.42,10.85,10.81,16.48,16.27,16.55,16.22,14.52,29.9,31.88,1.36809056066091,21.7582,5278.07116301965,1112.90017544024,179.181182507721,2623.51487687578,1112.90017544024,22.459559336,0.778637907181735,40.9059077637613,,0.0474916387959867,-0.0621079046424091,1.03551948052001,1.42,-0.00961911524162673,0.0178089804203586,0.0222225592974255,0.00945951396831457,-0.00703105153870794,3.24616666666667,3.13840425531915
2011-12-01,0.758567746855504,0.732619488119599,0.404802269969374,107.909047619048,16.48,11.53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,0,6,0,0,0.819000229869097,5.8362,1.871,16.4342028,21.664779274,8.52220514,11.63251220886,6.88290955,17.003139707,1.31783026917547,32.2,43.7141,22.1103,63.1897,50.248,18.40868251,,,29.955,,,5278.07116301965,2623.51487687578,906.274314701157,1112.90017544024,1531.59750390877,1075.39689041402,179.181182507721,20.293,,,,,,,,1,110.504090909091,109.468571428571,110.879090909091,110.081304347826,116.46,113.757727272727,11.32,11.42,10.85,16.78,16.48,16.27,16.55,16.22,31.32,29.9,1.35847144541929,21.3935,5278.07116301965,1112.90017544024,179.181182507721,2623.51487687578,1112.90017544024,20.124442735,0.769549890131316,42.5473256705321,,0.0280970625798213,0.0474916387959867,-2.59504329004301,0.880000000000003,-0.040641176243815,-0.000200713646251849,-0.000245011493017266,-0.0234836852526834,-0.0299168424782541,3.9652,3.24616666666667
2012-01-01,0.745300066917612,0.736930149269155,0.34269136567695,111.15619047619,16.71,11.45,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9.4,-2.7,-1.7,0,6,0,0,0.801132343077694,5.76254871794872,1.799,14.5535634,19.527119406,7.59482466,10.30603058856,6.313696825,18.423857317,1.28945340920919,30.36,43.8341,23,63.234,39.497,11.034915115,4.1,43.597,19.141,7.1,26.241,5435.83652846178,2735.32258912375,965.098170077547,1134.73163972439,1534.76006831761,1110.05486559373,179.181182507721,20.356,-3,-0.7,0.1,-0.2,-1.5,-4.7,15,1,107.909047619048,110.504090909091,109.468571428571,110.879090909091,110.081304347826,116.46,11.53,11.32,11.42,16.48,16.78,16.48,16.27,16.55,32.2,31.32,1.31783026917547,22.1103,5278.07116301965,1112.90017544024,179.181182507721,2623.51487687578,1112.90017544024,21.664779274,0.766132295944883,42.4341346674502,-0.1,-0.0571428571428572,0.0280970625798213,3.24714285714201,-1.84,-0.0283768599662821,-0.0178678867914034,-0.0218167054657106,0.0300914791557184,-0.0215330157684394,3.96354871794872,3.9652
2012-02-01,0.786313527863951,0.756355040579885,0.342271986793126,119.702380952381,16.03,11.12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,-0.3,3.2,0,6,0,0,0.796012546183217,5.40885483870968,1.977,14.95141444,19.014571046,8.36999299,11.06622226459,6.966699204,20.354278097,1.32124992060122,28.95,40.9828,21.7358,60.015,44.877,14.588893366,4.2,49.077,24.696,6.7,31.396,5435.83652846178,2735.32258912375,965.098170077547,1134.73163972439,1534.76006831761,1110.05486559373,175.978926812207,20.181,-2.6,-0.7,0.1,-0.4,-3,0,13.5,1,111.15619047619,107.909047619048,110.504090909091,109.468571428571,110.879090909091,110.081304347826,11.45,11.53,11.32,16.71,16.48,16.78,16.48,16.27,30.36,32.2,1.28945340920919,23,5435.83652846178,1134.73163972439,175.978926812207,2735.32258912375,1134.73163972439,19.527119406,0.764289945939713,39.147805503591,-0.3,-0.0464426877470356,-0.0571428571428572,8.546190476191,-1.41,0.0317965113920315,-0.00511979689447673,-0.00639070053620368,0.0768845211371437,0.0246589067623095,3.43185483870968,3.96354871794872
2012-03-01,0.820056133077019,0.77306710984678,0.330161249675034,124.928636363636,16.34,11.97,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4.2,-3.4,3.2,0,6,0,0,0.80478277255653,5.34402045454545,2.216,16.63102206,20.280345929,9.66290941,12.49944446856,4.953130307,15.002155195,1.32179594236881,29.33,43.8154,22.4042,61.813,46.658,15.410938223,4.9,51.558,28.405,7.6,36.005,5435.83652846178,2735.32258912375,965.098170077547,1134.73163972439,1534.76006831761,1110.05486559373,175.978926812207,18.253,-2.7,-0.8,0.1,-0.4,-3.7,0,10.8,1,119.702380952381,111.15619047619,107.909047619048,110.504090909091,109.468571428571,110.879090909091,11.12,11.45,11.53,16.03,16.71,16.48,16.78,16.48,28.95,30.36,1.32124992060122,21.7358,5435.83652846178,1134.73163972439,175.978926812207,2735.32258912375,1134.73163972439,19.014571046,0.758567746855504,38.2501852014054,-0.3,0.0131260794473229,-0.0464426877470356,5.226255411255,0.379999999999999,0.00054602176758789,0.00877022637331315,0.0110176986724208,0.0436604131820407,0.000413261532942555,3.12802045454545,3.43185483870968
2012-04-01,0.813307370011469,0.804345668267315,0.341996923253938,120.4635,16.85,11.42,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1.3,2.7,11.1,0,6,0,0,0.812296727685099,5.66938222222222,1.915,15.5432135,19.111118469,8.63228343,10.73205683894,4.860519738,14.212173875,1.31618096674676,29.36,42.2891,20.9781,55.698,44.903,15.866983332,5,49.903,26.771,7.7,34.471,5601.10228598893,2822.53629017361,993.06500724877,1153.38916726149,1517.59130843885,1122.73335236749,175.978926812207,18.132,-2.7,-0.9,0,-0.4,-4.5,0,9.7,1,124.928636363636,119.702380952381,111.15619047619,107.909047619048,110.504090909091,109.468571428571,11.97,11.12,11.45,16.34,16.03,16.71,16.48,16.78,29.33,28.95,1.32179594236881,22.4042,5435.83652846178,1134.73163972439,175.978926812207,2735.32258912375,1134.73163972439,20.280345929,0.745300066917612,38.7682749896772,-0.4,0.00102284350494378,0.0131260794473229,-4.46513636363601,0.0300000000000011,-0.00561497562204583,0.00751395512856912,0.00933662521713748,-0.0357414960541081,-0.00424798975550125,3.75438222222222,3.12802045454545
2012-05-01,0.775917477593767,0.786130619437537,0.34081156924666,110.521739130435,17.12,11.64,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2.7,-4.2,2.9,0,6,0,0,0.838055889219375,5.49565744680851,1.581,16.72103264,21.550014174,9.36852872,11.91726729421,4.236833093,12.431599967,1.28042617397904,32.45,43.7518,21.6057,51.6901,45.473,15.146605547,5.4,50.873,28.156,8.7,36.856,5601.10228598893,2822.53629017361,993.06500724877,1153.38916726149,1517.59130843885,1122.73335236749,237.25386523371,17.317,-3.2,-0.9,0.2,-0.6,-3.1,0,9.7,1,120.4635,124.928636363636,119.702380952381,111.15619047619,107.909047619048,110.504090909091,11.42,11.97,11.12,16.85,16.34,16.03,16.71,16.48,29.36,29.33,1.31618096674676,20.9781,5601.10228598893,1153.38916726149,237.25386523371,2822.53629017361,1153.38916726149,19.111118469,0.786313527863951,38.643073183685,-0.4,0.10524523160763,0.00102284350494378,-9.941760869565,3.09,-0.0357547927677204,0.0257591615342762,0.031711517055701,-0.0825292380643515,-0.0271655598060321,3.91465744680851,3.75438222222222
2012-06-01,0.687985510692685,0.732174782079343,0.346209604802098,95.5890476190476,17.2,11.49,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-5.2,-0.9,1,0,6,0,0,0.829953873753426,5.41486222222222,1.659,13.21150388,19.203171687,8.40797471,11.4835622802,4.308448663,12.444624884,1.25212240064324,32.82,42.2525,23.1606,45.8141,40.81,14.882072747,5.3,46.11,26.979,9.5,36.479,5601.10228598893,2822.53629017361,993.06500724877,1153.38916726149,1517.59130843885,1122.73335236749,237.25386523371,13.831,-4.3,-0.8,0.1,0.5,-12.7,0,-3.3,1,110.521739130435,120.4635,124.928636363636,119.702380952381,111.15619047619,107.909047619048,11.64,11.42,11.97,17.12,16.85,16.34,16.03,16.71,32.45,29.36,1.28042617397904,21.6057,5601.10228598893,1153.38916726149,237.25386523371,2822.53629017361,1153.38916726149,21.550014174,0.820056133077019,41.54982934562,0.6,0.011402157164869,0.10524523160763,-14.9326915113874,0.369999999999997,-0.0283037733358034,-0.00810201546594924,-0.00966763144340652,-0.135110898804842,-0.0221049631060311,3.75586222222222,3.91465744680851
2012-07-01,0.681649594961474,0.703812642671312,0.344748804215231,103.140909090909,18.11,11.13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.3,3.6,-1,0,7,0,0,0.831752061586625,5.442094,1.492,14.1424684,20.747417008,7.75806242,11.02290858339,4.309162533,12.499427062,1.23035702971676,32.19,43.7322,23.7408,44.8277,41.155,14.945306647,5.6,46.755,29.7,11.2,40.9,5731.04792400706,2938.40499267308,1030.14584010827,1201.60013679856,1525.62709536126,1169.41225090661,237.25386523371,11.455,-5.5,-1.1,0.1,-1,-3.1,-0.1,0.8,1,95.5890476190476,110.521739130435,120.4635,124.928636363636,119.702380952381,111.15619047619,11.49,11.64,11.42,17.2,17.12,16.85,16.34,16.03,32.82,32.45,1.25212240064324,23.1606,5601.10228598893,1153.38916726149,237.25386523371,2822.53629017361,1153.38916726149,19.203171687,0.813307370011469,41.0946571891112,-0.9,-0.0191956124314443,0.011402157164869,7.5518614718614,-0.630000000000003,-0.0217653709264847,0.00179818783319896,0.00216661177212987,0.0790034178597316,-0.0173827821587597,3.950094,3.75586222222222
2012-08-01,0.73080943975264,0.705954191026064,0.341534456766782,113.34,17.74,11.18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-5.9,-1.5,2.4,0,7,0,0,0.83066691297361,5.7035,1.562,13.86002498,18.965306448,8.46051784,11.98451393525,4.120353084,12.064238329,1.23815485795614,32.29,43.9301,23.7808,44.6928,41.119,14.678104096,5.8,46.919,29.959,11.5,41.459,5731.04792400706,2938.40499267308,1030.14584010827,1201.60013679856,1525.62709536126,1169.41225090661,204.682109972486,11.16,-5.8,-1.1,0.1,-0.9,-5.5,-0.1,-1.9,1,103.140909090909,95.5890476190476,110.521739130435,120.4635,124.928636363636,119.702380952381,11.13,11.49,11.64,18.11,17.2,17.12,16.85,16.34,32.19,32.82,1.23035702971676,23.7408,5731.04792400706,1201.60013679856,204.682109972486,2938.40499267308,1201.60013679856,20.747417008,0.775917477593767,39.6051927865824,-0.8,0.00310655483069281,-0.0191956124314443,10.199090909091,0.100000000000001,0.00779782823938602,-0.00108514861301534,-0.00130465395053587,0.0988850204927073,0.00633785807781435,4.1415,3.950094
2012-09-01,0.759007271037461,0.740850950547181,0.350100834767225,113.3825,16.83,11.08,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4.2,-2.2,0.1,0,7,0,0,0.816337837135621,5.64295227272727,1.637,14.68645552,19.349558404,9.0022692,12.15125551685,4.698361271,13.420023046,1.28417168834087,30.92,42.6069,21.6022,49.8306,42.93,14.542914009,5,47.93,27.364,9,36.364,5731.04792400706,2938.40499267308,1030.14584010827,1201.60013679856,1525.62709536126,1169.41225090661,204.682109972486,15.566,-4.1,-1.1,0.1,-0.8,-3.1,-0.1,6.6,1,113.34,103.140909090909,95.5890476190476,110.521739130435,120.4635,124.928636363636,11.18,11.13,11.49,17.74,18.11,17.2,17.12,16.85,32.29,32.19,1.23815485795614,23.7808,5731.04792400706,1201.60013679856,204.682109972486,2938.40499267308,1201.60013679856,18.965306448,0.687985510692685,39.9800203634038,-0.7,-0.0424279962836791,0.00310655483069281,0.0424999999999898,-1.37,0.0460168303847242,-0.0143290758379888,-0.0172500861827923,0.000374977942473882,0.0371656502327063,4.00595227272727,4.1415
2012-10-01,0.761473339960077,0.751266810574865,0.354695353999884,111.97347826087,15.3,11.58,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.5,1.6,1.3,0,7,0,0,0.81663164058762,5.72753461538462,1.686,15.60037601,20.487094152,8.92580323,11.88100299968,4.946940598,13.947012675,1.29644086060586,31.53,44.2463,22.026,54.1108,46.54,17.066880162,5.6,52.14,32.157,9.6,41.757,5840.53243901751,3040.86021860586,1055.08314793698,1218.48139050838,1525.16458204347,1180.5101811385,204.682109972486,14.383,-4,-1.3,0.1,-1,-3.9,0,4.2,1,113.3825,113.34,103.140909090909,95.5890476190476,110.521739130435,120.4635,11.08,11.18,11.13,16.83,17.74,18.11,17.2,17.12,30.92,32.29,1.28417168834087,21.6022,5731.04792400706,1201.60013679856,204.682109972486,2938.40499267308,1201.60013679856,19.349558404,0.681649594961474,39.7065886034996,-0.9,0.0197283311772315,-0.0424279962836791,-1.40902173913,0.609999999999999,0.0122691722649897,0.000293803451999475,0.000359904243848818,-0.0124271535654091,0.00955415259219841,4.04153461538462,4.00595227272727
2012-11-01,0.751411459882088,0.779830215295789,0.352916735992331,109.711818181818,15,11.83,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.2,0.8,3.1,0,7,0,0,0.818273679308585,5.65198510638298,1.606,15.76287069,20.9776820445,8.0160916,10.279278031,5.056766028,14.328495966,1.28342852071292,31.06,42.9808,23.5854,57.5454,45.268,16.432271682,5,50.268,30.587,8.4,38.987,5840.53243901751,3040.86021860586,1055.08314793698,1218.48139050838,1525.16458204347,1180.5101811385,181.453281061318,14.681,-3.4,-1.2,0.1,-0.7,-4.1,0,5.4,1,111.97347826087,113.3825,113.34,103.140909090909,95.5890476190476,110.521739130435,11.58,11.08,11.18,15.3,16.83,17.74,18.11,17.2,31.53,30.92,1.29644086060586,22.026,5840.53243901751,1218.48139050838,181.453281061318,3040.86021860586,1218.48139050838,20.487094152,0.73080943975264,40.8767803349026,-0.6,-0.0149064383127181,0.0197283311772315,-2.26166007905199,-0.470000000000002,-0.0130123398929392,0.00164203872096491,0.00201074589735876,-0.0201981765162541,-0.0100369714410715,4.04598510638298,4.04153461538462
2012-12-01,0.73568432208963,0.733293735859781,0.357160787144975,109.6765,15.41,11.79,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-8.1,-4,4.6,0,7,0,0,0.817553435800999,5.59898666666667,1.756,15.26576525,20.750428943,9.42498116,12.8529410509,6.997422401,19.591799136,1.3110953849636,30.37,44.3265,23.9326,65.3793,48.203,16.514831189,6.5,54.703,31.855,11.8,43.655,5840.53243901751,3040.86021860586,1055.08314793698,1218.48139050838,1525.16458204347,1180.5101811385,181.453281061318,16.348,-5.3,-1.3,0.1,-0.4,-8.7,-0.3,0.7,1,109.711818181818,111.97347826087,113.3825,113.34,103.140909090909,95.5890476190476,11.83,11.58,11.08,15,15.3,16.83,17.74,18.11,31.06,31.53,1.28342852071292,23.5854,5840.53243901751,1218.48139050838,181.453281061318,3040.86021860586,1218.48139050838,20.9776820445,0.759007271037461,39.8632898533432,-0.3,-0.0222150676110753,-0.0149064383127181,-0.0353181818179991,-0.689999999999998,0.0276668642506877,-0.000720243507586038,-0.000880198796317903,-0.000321917751462916,0.0215569965948079,3.84298666666667,4.04598510638298
