n_y;n_c;n_j;n_ex;n_im;n_ds;n_g
4924.061286;2472.697848;999.1086155;1385.760212;986.5595795;184.109903;868.9442868
4924.061286;2472.697848;999.1086155;1385.760212;986.5595795;184.109903;868.9442868
4924.061286;2472.697848;999.1086155;1385.760212;986.5595795;184.109903;868.9442868
5107.996226;2539.671879;1052.9297;1413.639324;985.8429804;202.3608083;885.2374941
5107.996226;2539.671879;1052.9297;1413.639324;985.8429804;202.3608083;885.2374941
5107.996226;2539.671879;1052.9297;1413.639324;985.8429804;202.3608083;885.2374941
5278.071163;2623.514877;1112.900175;1531.597504;1075.39689;179.1811825;906.2743147
5278.071163;2623.514877;1112.900175;1531.597504;1075.39689;179.1811825;906.2743147
5278.071163;2623.514877;1112.900175;1531.597504;1075.39689;179.1811825;906.2743147
5435.836528;2735.322589;1134.73164;1534.760068;1110.054866;175.9789268;965.0981701
5435.836528;2735.322589;1134.73164;1534.760068;1110.054866;175.9789268;965.0981701
5435.836528;2735.322589;1134.73164;1534.760068;1110.054866;175.9789268;965.0981701
5601.102286;2822.53629;1153.389167;1517.591308;1122.733352;237.2538652;993.0650072
5601.102286;2822.53629;1153.389167;1517.591308;1122.733352;237.2538652;993.0650072
5601.102286;2822.53629;1153.389167;1517.591308;1122.733352;237.2538652;993.0650072
5731.047924;2938.404993;1201.600137;1525.627095;1169.412251;204.68211;1030.14584
5731.047924;2938.404993;1201.600137;1525.627095;1169.412251;204.68211;1030.14584
5731.047924;2938.404993;1201.600137;1525.627095;1169.412251;204.68211;1030.14584
5840.532439;3040.860219;1218.481391;1525.164582;1180.510181;181.4532811;1055.083148
5840.532439;3040.860219;1218.481391;1525.164582;1180.510181;181.4532811;1055.083148
5840.532439;3040.860219;1218.481391;1525.164582;1180.510181;181.4532811;1055.083148
5862.705256;3069.009975;1278.317524;1499.09663;1217.735892;148.6587242;1085.358296
5862.705256;3069.009975;1278.317524;1499.09663;1217.735892;148.6587242;1085.358296
5862.705256;3069.009975;1278.317524;1499.09663;1217.735892;148.6587242;1085.358296
5963.782177;3181.086524;1271.649071;1526.159996;1232.819808;107.1699896;1110.536403
5963.782177;3181.086524;1271.649071;1526.159996;1232.819808;107.1699896;1110.536403
5963.782177;3181.086524;1271.649071;1526.159996;1232.819808;107.1699896;1110.536403
6159.127326;3284.988936;1276.882812;1646.00132;1265.676446;73.14904271;1143.781662
6159.127326;3284.988936;1276.882812;1646.00132;1265.676446;73.14904271;1143.781662
6159.127326;3284.988936;1276.882812;1646.00132;1265.676446;73.14904271;1143.781662
6271.874071;3329.36379;1305.629522;1605.357511;1248.27777;112.0459291;1167.75509
6271.874071;3329.36379;1305.629522;1605.357511;1248.27777;112.0459291;1167.75509
6271.874071;3329.36379;1305.629522;1605.357511;1248.27777;112.0459291;1167.75509
6330.950288;3338.510355;1282.699503;1684.118513;1324.146529;218.7955816;1130.972864
6330.950288;3338.510355;1282.699503;1684.118513;1324.146529;218.7955816;1130.972864
6330.950288;3338.510355;1282.699503;1684.118513;1324.146529;218.7955816;1130.972864
6550.398739;3462.67791;1337.432595;1777.498024;1326.536871;133.522821;1165.80426
6550.398739;3462.67791;1337.432595;1777.498024;1326.536871;133.522821;1165.80426
6550.398739;3462.67791;1337.432595;1777.498024;1326.536871;133.522821;1165.80426
6606.535416;3541.601582;1398.70072;1756.263066;1293.854272;8.847251623;1194.977068
6606.535416;3541.601582;1398.70072;1756.263066;1293.854272;8.847251623;1194.977068
6606.535416;3541.601582;1398.70072;1756.263066;1293.854272;8.847251623;1194.977068
6762.390567;3707.555412;1380.575343;1900.442133;1476.877648;17.54566955;1233.149657
6762.390567;3707.555412;1380.575343;1900.442133;1476.877648;17.54566955;1233.149657
6762.390567;3707.555412;1380.575343;1900.442133;1476.877648;17.54566955;1233.149657
6752.92582;3575.406383;1403.812761;2213.672458;1545.298671;-67.13870163;1172.47159
6752.92582;3575.406383;1403.812761;2213.672458;1545.298671;-67.13870163;1172.47159
6752.92582;3575.406383;1403.812761;2213.672458;1545.298671;-67.13870163;1172.47159
6793.753587;3649.517834;1341.763683;1870.595996;1247.790824;-25.43935997;1205.106259
6793.753587;3649.517834;1341.763683;1870.595996;1247.790824;-25.43935997;1205.106259
6793.753587;3649.517834;1341.763683;1870.595996;1247.790824;-25.43935997;1205.106259
7015.948352;3596.476478;1383.688548;1953.61728;1445.410181;288.6526117;1238.923615
7015.948352;3596.476478;1383.688548;1953.61728;1445.410181;288.6526117;1238.923615
7015.948352;3596.476478;1383.688548;1953.61728;1445.410181;288.6526117;1238.923615
7037.577705;3682.013567;1379.573535;1917.460284;1465.763708;245.5600405;1278.733986
7037.577705;3682.013567;1379.573535;1917.460284;1465.763708;245.5600405;1278.733986
7037.577705;3682.013567;1379.573535;1917.460284;1465.763708;245.5600405;1278.733986
6934.201122;3736.420011;1396.358888;1847.04475;1527.778626;202.2584959;1279.897605
